"","title","author","subject","abstract","meta"
"55","Mixbiotic society measures: Assessment of community well-going as living system","Takeshi Kato, Jyunichi Miyakoshi, Tadayuki Matsumura, Ryuji Mine, Hiroyuki Mizuno, Yasuo Deguchi","Social and Information Networks (cs.SI)","Abstract:Social isolation is caused by the impoverishment of community (atomism) and fragmentation is caused by the enlargement of in-group (mobism), both of which can be viewed as social problems related to communication. To solve these problems, the philosophical world has proposed the concept of ""mixbiotic society,"" in which individuals with freedom and diverse values mix and mingle to recognize their respective ""fundamental incapability"" each other and sublimate into solidarity. Based on this concept, this study proposes new mixbiotic society measures to evaluate dynamic communication patterns with reference to classification in cellular automata and particle reaction diffusion that simulate living phenomena. Specifically, the hypothesis of measures corresponding to the four classes was formulated, and the hypothesis was validated by simulating the generation and disappearance of communication. As a result, considering communication patterns as multidimensional vectors, it found that the mean of Euclidean distance for ""mobism,"" the variance of the relative change in distance for ""atomism,"" the composite measure that multiplies the mean and variance of cosine similarity for ""mixism,"" which corresponds to the well-going of mixbiotic society, and the almost zero measures for ""nihilism,"" are suitable. Then, evaluating seven real-society datasets using these measures, we showed that the mixism measure is useful for assessing the livingness of communication, and that it is possible to typify communities based on plural measures. The measures established in this study are superior to conventional analysis in that they can evaluate dynamic patterns, they are simple to calculate, and their meanings are easy to interpret. As a future development, the mixbiotic society measures will be used in the fields of digital democracy and platform cooperativism toward a desirable society.","Fri, 21 Jul 2023 14:00:17 UTC (1,498 KB)[v2] Mon, 24 Jul 2023 18:25:46 UTC (1,933 KB)"
"56","VoteLab: A Modular and Adaptive Experimentation Platform for Online Collective Decision Making","Renato Kunz, Fatemeh Banaie, Abhinav Sharma, Carina I. Hausladen, Dirk Helbing, Evangelos Pournaras","Computers and Society (cs.CY)","Abstract:Digital democracy and new forms for direct digital participation in policy making gain unprecedented momentum. This is particularly the case for preferential voting methods and decision-support systems designed to promote fairer, more inclusive and legitimate collective decision-making processes in citizens assemblies, participatory budgeting and elections. However, a systematic human experimentation with different voting methods is cumbersome and costly. This paper introduces VoteLab, an open-source and thoroughly-documented platform for modular and adaptive design of voting experiments. It supports to visually and interactively build reusable campaigns with a choice of different voting methods, while voters can easily respond to subscribed voting questions on a smartphone. A proof-of-concept with four voting methods and questions on COVID-19 in an online lab experiment have been used to study the consistency of voting outcomes. It demonstrates the capability of VoteLab to support rigorous experimentation of complex voting scenarios.","Thu, 20 Jul 2023 14:26:21 UTC (1,999 KB)"
"57","Reflective Hybrid Intelligence for Meaningful Human Control in Decision-Support Systems","Catholijn M. Jonker, Luciano Cavalcante Siebert, Pradeep K. Murukannaiah","Artificial Intelligence (cs.AI)","Abstract:With the growing capabilities and pervasiveness of AI systems, societies must collectively choose between reduced human autonomy, endangered democracies and limited human rights, and AI that is aligned to human and social values, nurturing collaboration, resilience, knowledge and ethical behaviour. In this chapter, we introduce the notion of self-reflective AI systems for meaningful human control over AI systems. Focusing on decision support systems, we propose a framework that integrates knowledge from psychology and philosophy with formal reasoning methods and machine learning approaches to create AI systems responsive to human values and social norms. We also propose a possible research approach to design and develop self-reflective capability in AI systems. Finally, we argue that self-reflective AI systems can lead to self-reflective hybrid systems (human + AI), thus increasing meaningful human control and empowering human moral reasoning by providing comprehensible information and insights on possible human moral blind spots.","Wed, 12 Jul 2023 13:32:24 UTC (961 KB)"
"58","System Science in Politics -- Europe and the War in Ukraine","Juergen Mimkes","Physics and Society (physics.soc-ph)","Abstract:Peace means order, and war brings disorder and chaos to any society. But order and disorder are not only observed in wars, in many systems they are the dominant property. Understanding order and disorder enables us to understand the structure of systems. Order and disorder are also part of the Lagrange Principle, and as statistics is valid in all systems, we may regard Lagrange statistics as a mathematical basis of system science. Two systems out of natural and social science are compared: materials of trillions of atoms and politics of millions of people. Lagrange statistics leads to three phases of homogeneous systems: in materials we have the states: solid, liquid, gas, depending on two Lagrange parameters, temperature T (the mean energy of atoms) and pressure p. In politics we have three states: autocratic, democratic, global, depending on two Lagrange parameters, standard of living T (the mean capital of people) and political pressure p. The three phases of each system are compared in the p-T phase diagram: Different phases of one system cannot coexist as nearest neighbors: Water will dissolve ice by exchange of atoms and heat. This leads to the present climate crisis. Democracies will dissolve autocracies by exchange of goods, ideas, and people like guest workers. This is the peaceful history of the EU and has led to the aggressive reaction of Russia in the GDR, Hungary, ČSR, and now in the Ukraine. At the end of war peaceful coexistence will not be possible between Russia and Ukraine. Only separation by a new Iron Curtain guaranteed by NATO can lead to a long-time armistice.","Fri, 7 Jul 2023 16:25:06 UTC (663 KB)"
"59","Proxy Selection in Transitive Proxy Voting","Jacqueline Harding","Computer Science and Game Theory (cs.GT)","Abstract:Transitive proxy voting (or ""liquid democracy"") is a novel form of collective decision making, often framed as an attractive hybrid of direct and representative democracy. Although the ideas behind liquid democracy have garnered widespread support, there have been relatively few attempts to model it formally. This paper makes three main contributions. First, it proposes a new social choice-theoretic model of liquid democracy, which is distinguished by taking a richer formal perspective on the process by which a voter chooses a proxy. Second, it examines the model from an axiomatic perspective, proving (a) a proxy vote analogue of May's Theorem and (b) an impossibility result concerning monotonicity properties in a proxy vote setting. Third, it explores the topic of manipulation in transitive proxy votes. Two forms of manipulation specific to the proxy vote setting are defined, and it is shown that manipulation occurs in strictly more cases in proxy votes than in classical votes.","Wed, 5 Jul 2023 19:59:06 UTC (49 KB)"
"60","Algorithms, Incentives, and Democracy","Elizabeth Maggie Penn, John W. Patty","Theoretical Economics (econ.TH)","Abstract:Classification algorithms are increasingly used in areas such as housing, credit, and law enforcement in order to make decisions affecting peoples' lives. These algorithms can change individual behavior deliberately (a fraud prediction algorithm deterring fraud) or inadvertently (content sorting algorithms spreading misinformation), and they are increasingly facing public scrutiny and regulation. Some of these regulations, like the elimination of cash bail in some states, have focused on \textit{lowering the stakes of certain classifications}. In this paper we characterize how optimal classification by an algorithm designer can affect the distribution of behavior in a population -- sometimes in surprising ways. We then look at the effect of democratizing the rewards and punishments, or stakes, to algorithmic classification to consider how a society can potentially stem (or facilitate!) predatory classification. Our results speak to questions of algorithmic fairness in settings where behavior and algorithms are interdependent, and where typical measures of fairness focusing on statistical accuracy across groups may not be appropriate.","Wed, 5 Jul 2023 14:22:01 UTC (461 KB)"
"61","Anonymous and Copy-Robust Delegations for Liquid Democracy","Markus Utke, Ulrike Schmidt-Kraepelin","Computer Science and Game Theory (cs.GT)","Abstract:Liquid democracy with ranked delegations is a novel voting scheme that unites the practicability of representative democracy with the idealistic appeal of direct democracy: Every voter decides between casting their vote on a question at hand or delegating their voting weight to some other, trusted agent. Delegations are transitive, and since voters may end up in a delegation cycle, they are encouraged to indicate not only a single delegate, but a set of potential delegates and a ranking among them. Based on the delegation preferences of all voters, a delegation rule selects one representative per voter. Previous work has revealed a trade-off between two properties of delegation rules called anonymity and copy-robustness.
To overcome this issue we study two fractional delegation rules: Mixed Borda branching, which generalizes a rule satisfying copy-robustness, and the random walk rule, which satisfies anonymity. Using the Markov chain tree theorem, we show that the two rules are in fact equivalent, and simultaneously satisfy generalized versions of the two properties. Combining the same theorem with Fulkerson's algorithm, we develop a polynomial-time algorithm for computing the outcome of the studied delegation rule. This algorithm is of independent interest, having applications in semi-supervised learning and graph theory.","Mon, 3 Jul 2023 17:38:38 UTC (1,116 KB)[v2] Wed, 6 Mar 2024 17:22:57 UTC (35 KB)"
"62","Unanimity, Coexistence and Rigidity: Three Sides of Polarization","Serge Galam","Physics and Society (physics.soc-ph)","Abstract:Political polarization is perceived as a threat to democracies. Using the Galam model of opinion dynamics deployed in a five-dimensional parameter space, I show that polarization is the byproduct of an essential hallmark of a vibrant democratic society, namely the open and informal discussions among agents. Indeed, within a homogeneous social community with floaters, the dynamics leads gradually toward unanimity (zero entropy). Polarization can eventually appear as the juxtaposition of non-mixing social groups sharing different prejudices about the issue at stake. On the other hand, the inclusion of contrarian agents produces a polarization within a community that mixes when their proportion $x$ is beyond a critical value $x_c=\frac{1}{6}\approx 0.167$ for discussing groups of size 3 and 4. Similarly, the presence of stubborn agents produces also a polarization of a community that mixes when the proportion of stubborns is greater than some critical value. For equal proportions of stubborns $a$ along each opinion, $a_c=\frac{2}{9}\approx 0.22$ for group size 4 against $a_c=\frac{1}{4}= 0.25$ for group size 3. However, the evaluation of the proportion of individual opinion shifts at the attractor $\frac{1}{2}$ indicates that the polarization produced by contrarians is fluid with a good deal of agents who keep shifting between the two opposed blocks (high entropy). That favors a coexistence of opposite opinions in a divided community. In contrast, the polarization created by stubborn agents is found to be frozen with very few individuals shifting opinion between the two opinions (low entropy). That yields a basis for the emergence of hate between the frozen opposed blocks.","Sun, 25 Jun 2023 20:38:43 UTC (330 KB)"
"63","Improving City Life via Legitimate and Participatory Policy-making: A Data-driven Approach in Switzerland","Thomas Wellings, Srijoni Majumdar, Regula Hänggli Fricker, Evangelos Pournaras","Computers and Society (cs.CY)","Abstract:This paper introduces a novel data-driven approach to address challenges faced by city policymakers concerning the distribution of public funds. Providing budgeting processes for improving quality of life based on objective (data-driven) evidence has been so far a missing element in policy-making. This paper focuses on a case study of 1,204 citizens in the city of Aarau, Switzerland, and analyzes survey data containing insightful indicators that can impact the legitimacy of decision-making. Our approach is twofold. On the one hand, we aim to optimize the legitimacy of policymakers' decisions by identifying the level of investment in neighborhoods and projects that offer the greatest return in legitimacy. To do so, we introduce a new context-independent legitimacy metric for policymakers. This metric allows us to distinguish decisive vs. indecisive collective preferences for neighborhoods or projects on which to invest, enabling policymakers to prioritize impactful bottom-up consultations and participatory initiatives (e.g., participatory budgeting). The metric also allows policymakers to identify the optimal number of investments in various project sectors and neighborhoods (in terms of legitimacy gain). On the other hand, we aim to offer guidance to policymakers concerning which satisfaction and participation factors influence citizens' quality of life through an accurate classification model and an evaluation of relocations. By doing so, policymakers may be able to further refine their strategy, making targeted investments with significant benefits to citizens' quality of life. These findings are expected to provide transformative insights for practicing direct democracy in Switzerland and a blueprint for policy-making to adopt worldwide.","Fri, 23 Jun 2023 13:38:39 UTC (17,247 KB)"
"64","Adversaries with Limited Information in the Friedkin--Johnsen Model","Sijing Tu, Stefan Neumann, Aristides Gionis","Social and Information Networks (cs.SI)","Abstract:In recent years, online social networks have been the target of adversaries who seek to introduce discord into societies, to undermine democracies and to destabilize communities. Often the goal is not to favor a certain side of a conflict but to increase disagreement and polarization. To get a mathematical understanding of such attacks, researchers use opinion-formation models from sociology, such as the Friedkin--Johnsen model, and formally study how much discord the adversary can produce when altering the opinions for only a small set of users. In this line of work, it is commonly assumed that the adversary has full knowledge about the network topology and the opinions of all users. However, the latter assumption is often unrealistic in practice, where user opinions are not available or simply difficult to estimate accurately.
To address this concern, we raise the following question: Can an attacker sow discord in a social network, even when only the network topology is known? We answer this question affirmatively. We present approximation algorithms for detecting a small set of users who are highly influential for the disagreement and polarization in the network. We show that when the adversary radicalizes these users and if the initial disagreement/polarization in the network is not very high, then our method gives a constant-factor approximation on the setting when the user opinions are known. To find the set of influential users, we provide a novel approximation algorithm for a variant of MaxCut in graphs with positive and negative edge weights. We experimentally evaluate our methods, which have access only to the network topology, and we find that they have similar performance as methods that have access to the network topology and all user opinions. We further present an NP-hardness proof, which was an open question by Chen and Racz [IEEE Trans. Netw. Sci. Eng., 2021].","Sat, 17 Jun 2023 10:32:02 UTC (2,392 KB)[v2] Tue, 12 Sep 2023 19:05:59 UTC (2,405 KB)"
"65","Identifying a would-be terrorist: An ineradicable error in the data processing?","Serge Galam","Physics and Society (physics.soc-ph)","Abstract:Processing fragments of data collected on a monitored person to find out whether this person is a would-be terrorist (WT) is very challenging. Moreover, the process has proven to be deceptive, with repeated dramatic failures. To address the issue I suggest a mirror simple model to mimic the process at stake. The model considers a collection of ground items which are labelled either Terrorist Connected (TC) or Terrorist Free (TF). To extract the signal from the ground data items I implement an iterated coarse-grained scheme, which yields a giant unique item with a label TC or TF. The results obtained validate the processing scheme with correct outcomes for the full range of proportions of TC items, beside in a specific sub-range. There, a systematic wrong labelling of the giant item is obtained at the benefit of WT, who are wrongly labeled not would-be terrorist (NWT). This flaw proves to be irremovable because it is anchored within the processing itself in connexion with the treatment of uncertain aggregates, which inevitable appear. The ``natural"" allocation of uncertain aggregates to the TF label, in tune with the ethical application of the presumption of innocence in force in democracies, confines the wrong diagnosis systematically to the benefit of some WT, who are labelled NWT. It happens that applying the presumption of guilt, instead of that of innocence, to label the indeterminate aggregates, shifts the systematic errors to another sub-range of proportions of TC items with then zero errors in identifying a WT. But instead, some NWT are wrongly labeled WT. Despite of being quite far from reality, my results suggest that intelligence agencies should investigate the overall effect of seemingly inconsequential ""natural"" labelling, which are applied locally when data are uncertain with no immediate detectable impact on the data processing.","Mon, 12 Jun 2023 21:01:30 UTC (1,111 KB)"
"66","Information aggregation with delegation of votes","Amrita Dhillon, Grammateia Kotsialou, Dilip Ravindran, Dimitrios Xefteris","Theoretical Economics (econ.TH)","Abstract:Liquid democracy is a system that combines aspects of direct democracy and representative democracy by allowing voters to either vote directly themselves, or delegate their votes to others. In this paper we study the information aggregation properties of liquid democracy in a setting with heterogeneously informed truth-seeking voters -- who want the election outcome to match an underlying state of the world -- and partisan voters. We establish that liquid democracy admits equilibria which improve welfare and information aggregation over direct and representative democracy when voters' preferences and information precisions are publicly or privately known. Liquid democracy also admits equilibria which do worse than the other two systems. We discuss features of efficient and inefficient equilibria and provide conditions under which voters can more easily coordinate on the efficient equilibria in liquid democracy than the other two systems.","Tue, 6 Jun 2023 18:44:21 UTC (211 KB)"
"67","Nonparametric Detection of Gerrymandering in Multiparty Elections","Wojciech Słomczyński, Dariusz Stolicki, Stanisław Szufa","Applications (stat.AP)","Abstract:Partisan gerrymandering, i.e., manipulation of electoral district boundaries for political advantage, is one of the major challenges to election integrity in modern day democracies. Yet most of the existing methods for detecting partisan gerrymandering are narrowly tailored toward fully contested two-party elections, and fail if there are more parties or if the number of candidates per district varies (as is the case in many plurality-based electoral systems outside the United States). We propose two methods, based on nonparametric statistical learning, that are able to deal with such cases. The use of multiple methods makes the proposed solution robust against violation of their respective assumptions. We then test the proposed methods against real-life data from national and subnational elections in 17 countries employing the FPTP system.","Mon, 5 Jun 2023 17:56:41 UTC (6,282 KB)"
"68","Reconciling Governmental Use of Online Targeting With Democracy","Katja Andric, Atoosa Kasirzadeh","Computers and Society (cs.CY)","Abstract:The societal and epistemological implications of online targeted advertising have been scrutinized by AI ethicists, legal scholars, and policymakers alike. However, the government's use of online targeting and its consequential socio-political ramifications remain under-explored from a critical socio-technical standpoint. This paper investigates the socio-political implications of governmental online targeting, using a case study of the UK government's application of such techniques for public policy objectives. We argue that this practice undermines democratic ideals, as it engenders three primary concerns -- Transparency, Privacy, and Equality -- that clash with fundamental democratic doctrines and values. To address these concerns, the paper introduces a preliminary blueprint for an AI governance framework that harmonizes governmental use of online targeting with certain democratic principles. Furthermore, we advocate for the creation of an independent, non-governmental regulatory body responsible for overseeing the process and monitoring the government's use of online targeting, a critical measure for preserving democratic values.","Fri, 2 Jun 2023 12:07:17 UTC (33 KB)"
"69","Forensic analysis of the Turkey 2023 presidential election reveals extreme vote swings in remote areas","Peter Klimek, Ahmet Aykac, Stefan Thurner","Applications (stat.AP)","Abstract:Concerns about the integrity of Turkey's elections have increased with the recent transition from a parliamentary democracy to an executive presidency under Recep Tayyip Erdogan. Election forensics tools are used to identify statistical traces of certain types of electoral fraud, providing important information about the integrity and validity of democratic elections. Such analyses of the 2017 and 2018 Turkish elections revealed that malpractices such as ballot stuffing or voter manipulation may indeed have played a significant role in determining the election results. Here, we apply election forensic statistical tests for ballot stuffing and voter manipulation to the results of the 2023 presidential election in Turkey. We find that both rounds of the 2023 presidential election exhibit similar statistical irregularities to those observed in the 2018 presidential election, however the magnitude of these distortions has decreased. We estimate that 2.4% (SD 1.9%) and 1.9% (SD 1.7%) of electoral units may have been affected by ballot stuffing practices in favour of Erdogan in the first and second rounds, respectively, compared to 8.5% (SD 3.9%) in 2018. Areas with smaller polling stations and fewer ballot boxes had significantly inflated votes and turnout, again, in favor of Erdogan. Furthermore, electoral districts with two or fewer ballot boxes were more likely to show large swings in vote shares in favour of Erdogan from the first to the second round. Based on a statistical model, we estimate that these swings translate into 342,000 excess votes (SD 4,900) or 0.64% for Erdogan. Our results suggest that Turkish elections continue to be riddled with statistical irregularities, that may be indicative of electoral fraud.","Tue, 30 May 2023 16:14:56 UTC (369 KB)[v2] Sun, 25 Jun 2023 09:19:08 UTC (822 KB)"
"70","Socio-Linguistic Characteristics of Coordinated Inauthentic Accounts","Keith Burghardt, Ashwin Rao, Siyi Guo, Zihao He, Georgios Chochlakis, Baruah Sabyasachee, Andrew Rojecki, Shri Narayanan, Kristina Lerman","Social and Information Networks (cs.SI)","Abstract:Online manipulation is a pressing concern for democracies, but the actions and strategies of coordinated inauthentic accounts, which have been used to interfere in elections, are not well understood. We analyze a five million-tweet multilingual dataset related to the 2017 French presidential election, when a major information campaign led by Russia called ""#MacronLeaks"" took place. We utilize heuristics to identify coordinated inauthentic accounts and detect attitudes, concerns and emotions within their tweets, collectively known as socio-linguistic characteristics. We find that coordinated accounts retweet other coordinated accounts far more than expected by chance, while being exceptionally active just before the second round of voting. Concurrently, socio-linguistic characteristics reveal that coordinated accounts share tweets promoting a candidate at three times the rate of non-coordinated accounts. Coordinated account tactics also varied in time to reflect news events and rounds of voting. Our analysis highlights the utility of socio-linguistic characteristics to inform researchers about tactics of coordinated accounts and how these may feed into online social manipulation.","Fri, 19 May 2023 17:58:22 UTC (4,101 KB)[v2] Tue, 30 May 2023 20:38:29 UTC (4,072 KB)"
"71","Cooperation Is All You Need","Ahsan Adeel, Junaid Muzaffar, Khubaib Ahmed, Mohsin Raza","Machine Learning (cs.LG)","Abstract:Going beyond 'dendritic democracy', we introduce a 'democracy of local processors', termed Cooperator. Here we compare their capabilities when used in permutation-invariant neural networks for reinforcement learning (RL), with machine learning algorithms based on Transformers, such as ChatGPT. Transformers are based on the long-standing conception of integrate-and-fire 'point' neurons, whereas Cooperator is inspired by recent neurobiological breakthroughs suggesting that the cellular foundations of mental life depend on context-sensitive pyramidal neurons in the neocortex which have two functionally distinct points. We show that when used for RL, an algorithm based on Cooperator learns far quicker than that based on Transformer, even while having the same number of parameters.","Tue, 16 May 2023 16:48:12 UTC (16,622 KB)"
"72","From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models","Shangbin Feng, Chan Young Park, Yuhan Liu, Yulia Tsvetkov","Computation and Language (cs.CL)","Abstract:Language models (LMs) are pretrained on diverse data sources, including news, discussion forums, books, and online encyclopedias. A significant portion of this data includes opinions and perspectives which, on one hand, celebrate democracy and diversity of ideas, and on the other hand are inherently socially biased. Our work develops new methods to (1) measure political biases in LMs trained on such corpora, along social and economic axes, and (2) measure the fairness of downstream NLP models trained on top of politically biased LMs. We focus on hate speech and misinformation detection, aiming to empirically quantify the effects of political (social, economic) biases in pretraining data on the fairness of high-stakes social-oriented tasks. Our findings reveal that pretrained LMs do have political leanings that reinforce the polarization present in pretraining corpora, propagating social biases into hate speech predictions and misinformation detectors. We discuss the implications of our findings for NLP research and propose future directions to mitigate unfairness.","Mon, 15 May 2023 00:06:30 UTC (1,188 KB)[v2] Sat, 27 May 2023 03:43:51 UTC (1,189 KB)[v3] Thu, 6 Jul 2023 00:40:53 UTC (1,189 KB)"
"73","The Scandinavian Style: Nordic values in HCI","Rebekah Rousi","Human-Computer Interaction (cs.HC)","Abstract:During the 1950s Scandinavian Design caught international attention with its minimalism, simplicity, functionalism and sophistication. Several factors rested at its heart: functionality, democracy and affordability. Aesthetic styles connected to international minimalist, modernist and functionalist movements, which were also symbolically connected to education, political and social movements, and the Nordic welfare model. Studies have shown how social and political values from this period connect with Nordic interaction design from the past three decades. How these are represented in contemporary interaction design discourse, and design form and expression is a perspective under represented. This paper presents the results of a three-tiered content analysis of the proceedings of NordiCHI years 2000-2014: categorization of titles according to emphasis; content analysis of Scandinavian value constructs overall; and thematic connection of the results to conference theme and site. Results are then discussed with reflection on form and process in the Nordic interaction design industry.","Thu, 13 Apr 2023 21:07:50 UTC (1,484 KB)"
"74","Digitization of the Australian Parliamentary Debates, 1998-2022","Lindsay Katz, Rohan Alexander","Digital Libraries (cs.DL)","Abstract:Public knowledge of what is said in parliament is a tenet of democracy, and a critical resource for political science research. In Australia, following the British tradition, the written record of what is said in parliament is known as Hansard. While the Australian Hansard has always been publicly available, it has been difficult to use for the purpose of large-scale macro- and micro-level text analysis because it has only been available as PDFs or XMLs. Following the lead of the Linked Parliamentary Data project which achieved this for Canada, we provide a new, comprehensive, high-quality, rectangular database that captures proceedings of the Australian parliamentary debates from 1998 to 2022. The database is publicly available and can be linked to other datasets such as election results. The creation and accessibility of this database enables the exploration of new questions and serves as a valuable resource for both researchers and policymakers.","Fri, 7 Apr 2023 17:14:14 UTC (3,580 KB)[v2] Fri, 22 Sep 2023 14:45:56 UTC (14,370 KB)"
"75","Deliberative Democracy, Perspective from Indo-Pacific Blogosphere: A Survey","Abiola Akinnubi, Nitin Agarwal","Social and Information Networks (cs.SI)","Abstract:Deliberation and communication within the national space have had numerous implications on how citizens online and offline perceive government. It has also impacted the relationship between opposition and incumbent governments in the Indo-Pacific region. Authoritarian regimes have historically had control over the dissemination of information, thereby controlling power and limiting challenges from citizens who are not comfortable with the status quo. Social media and blogs have allowed citizens of these countries to find a way to communicate, and the exchange of information continues to rise. The quest by both authoritarian and democratic regimes to control or influence the discussion in the public sphere has given rise to concepts like cybertroopers, congressional bloggers, and commentator bloggers, among others. Cybertroopers have become the de facto online soldiers of authoritarian regimes who must embrace democracy. While commentator and congressional bloggers have acted with different strategies, commentator bloggers educate online citizens with knowledgeable information to influence the citizens. Congressional bloggers are political officeholders who use blogging to communicate their positions on ongoing national issues. Therefore, this work has explored various concepts synonymous with the Indo-Pacific public sphere and how it shapes elections and democracy.","Sun, 9 Apr 2023 00:12:15 UTC (957 KB)[v2] Tue, 11 Apr 2023 00:50:51 UTC (937 KB)"
"76","Selecting Representative Bodies: An Axiomatic View","Manon Revel, Niclas Boehmer, Rachael Colley, Markus Brill, Piotr Faliszewski, Edith Elkind","Multiagent Systems (cs.MA)","Abstract:As the world's democratic institutions are challenged by dissatisfied citizens, political scientists and also computer scientists have proposed and analyzed various (innovative) methods to select representative bodies, a crucial task in every democracy. However, a unified framework to analyze and compare different selection mechanisms is missing, resulting in very few comparative works. To address this gap, we advocate employing concepts and tools from computational social choice in order to devise a model in which different selection mechanisms can be formalized. Such a model would allow for desirable representation axioms to be conceptualized and evaluated. We make the first step in this direction by proposing a unifying mathematical formulation of different selection mechanisms as well as various social-choice-inspired axioms such as proportionality and monotonicity.","Wed, 5 Apr 2023 22:28:32 UTC (34 KB)"
"77","Bridging Deliberative Democracy and Deployment of Societal-Scale Technology","Ned Cooper","Computers and Society (cs.CY)","Abstract:This position paper encourages the Human-Computer Interaction (HCI) community to focus on designing deliberative processes to inform and coordinate technology and policy design for large language models (LLMs) -- a `societal-scale technology'. First, I propose a definition for societal-scale technology and locate LLMs within this definition. Next, I argue that existing processes to ensure the safety of LLMs are insufficient and do not give the systems democratic legitimacy. Instead, we require processes of deliberation amongst users and other stakeholders on questions about the safety of outputs and deployment contexts. This shift in AI safety research and practice will require the design of corporate and public policies that determine how to enact deliberation and the design of interfaces and technical features to translate the outcomes of deliberation into technical development processes. To conclude, I propose roles for the HCI community to ensure deliberative processes inform technology and policy design for LLMs and other societal-scale technology.","Mon, 20 Mar 2023 02:27:52 UTC (104 KB)[v2] Mon, 27 Mar 2023 04:47:19 UTC (104 KB)"
"78","Reinforcement Learning-based Counter-Misinformation Response Generation: A Case Study of COVID-19 Vaccine Misinformation","Bing He, Mustaque Ahamad, Srijan Kumar","Social and Information Networks (cs.SI)","Abstract:The spread of online misinformation threatens public health, democracy, and the broader society. While professional fact-checkers form the first line of defense by fact-checking popular false claims, they do not engage directly in conversations with misinformation spreaders. On the other hand, non-expert ordinary users act as eyes-on-the-ground who proactively counter misinformation -- recent research has shown that 96% counter-misinformation responses are made by ordinary users. However, research also found that 2/3 times, these responses are rude and lack evidence. This work seeks to create a counter-misinformation response generation model to empower users to effectively correct misinformation. This objective is challenging due to the absence of datasets containing ground-truth of ideal counter-misinformation responses, and the lack of models that can generate responses backed by communication theories. In this work, we create two novel datasets of misinformation and counter-misinformation response pairs from in-the-wild social media and crowdsourcing from college-educated students. We annotate the collected data to distinguish poor from ideal responses that are factual, polite, and refute misinformation. We propose MisinfoCorrect, a reinforcement learning-based framework that learns to generate counter-misinformation responses for an input misinformation post. The model rewards the generator to increase the politeness, factuality, and refutation attitude while retaining text fluency and relevancy. Quantitative and qualitative evaluation shows that our model outperforms several baselines by generating high-quality counter-responses. This work illustrates the promise of generative text models for social good -- here, to help create a safe and reliable information ecosystem. The code and data is accessible on this https URL.","Sat, 11 Mar 2023 15:55:01 UTC (654 KB)"
"79","A Note on the Proposed Law for Improving the Transparency of Political Advertising in the European Union","Jukka Ruohonen","Computers and Society (cs.CY)","Abstract:There is an increasing supply and demand for political advertising throughout the world. At the same time, societal threats, such as election interference by foreign governments and other bad actors, continues to be a pressing concern in many democracies. Furthermore, manipulation of electoral outcomes, whether by foreign or domestic forces, continues to be a concern of many citizens who are also worried about their fundamental rights. To these ends, the European Union (EU) has launched several initiatives for tackling the issues. A new regulation was proposed in 2020 also for improving the transparency of political advertising in the union. This short commentary reviews the regulation proposed and raises a few points about its limitations and potential impacts.","Mon, 6 Mar 2023 03:27:55 UTC (56 KB)[v2] Fri, 17 Mar 2023 13:28:54 UTC (57 KB)[v3] Tue, 17 Oct 2023 05:17:50 UTC (58 KB)[v4] Tue, 24 Oct 2023 10:31:19 UTC (59 KB)[v5] Wed, 1 Nov 2023 06:18:47 UTC (59 KB)"
"80","Publicly verifiable delegative democracy with secret voting power","Dimitrios Karoukis","Cryptography and Security (cs.CR)","Abstract:In a democratic setting, we introduce a commitment scheme which allows for transparent validation of transfers and reversible delegations of voting power between citizens without sacrificing their privacy. A unit of voting power is publicly represented by the Merkle root of a tree consisting of its latest owner's public key, a random nonce and the Merkle root of the tree of its previous owner's public key and random nonce and so on. A transition includes the input units, their owner's public keys and signatures, the hashes of their nonces and the output units generated with the new owners' public keys and random nonces. In case of a delegation, the receiver provides the sender with the hashed random nonces and hashed public keys for the output units. In case of a transfer, only the precomputed output units are provided by the receiver. In a reversal, a historical owner reveals the hashes of the nonces and public keys that resulted in the subsequent units. To vote, the owner reveals the actual nonces and public keys.","Tue, 28 Feb 2023 08:54:07 UTC (9 KB)[v2] Fri, 5 May 2023 11:48:41 UTC (11 KB)"
